⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech G103 Prodigy Gaming Mouse      	id=10	[slave  pointer  (2)]
⎜   ↳ Logitech G103 Prodigy Gaming Mouse Consumer Control	id=11	[slave  pointer  (2)]
⎜   ↳ SynPS/2 Synaptics TouchPad              	id=21	[slave  pointer  (2)]
⎜   ↳ IKBC USB Keyboard Consumer Control      	id=15	[slave  pointer  (2)]
⎜   ↳ IKBC USB Keyboard Mouse                 	id=25	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Power Button                            	id=9	[slave  keyboard (3)]
    ↳ Logitech G103 Prodigy Gaming Mouse System Control	id=12	[slave  keyboard (3)]
    ↳ Logitech G103 Prodigy Gaming Mouse Keyboard	id=13	[slave  keyboard (3)]
    ↳ HP Wide Vision HD Camera: HP Wi         	id=19	[slave  keyboard (3)]
    ↳ HP Wireless hotkeys                     	id=22	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=23	[slave  keyboard (3)]
    ↳ Logitech G103 Prodigy Gaming Mouse Consumer Control	id=24	[slave  keyboard (3)]
    ↳ IKBC USB Keyboard                       	id=14	[slave  keyboard (3)]
    ↳ IKBC USB Keyboard Consumer Control      	id=16	[slave  keyboard (3)]
    ↳ IKBC USB Keyboard System Control        	id=17	[slave  keyboard (3)]
    ↳ IKBC USB Keyboard                       	id=18	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=20	[slave  keyboard (3)]
